cell_type,color
Amnion,#cc7818
Forebrain/Midbrain/Hindbrain,#647A4F
Neural tube Posterior,#CDE089
Presomitic mesoderm,#A8DBF7
Surface ectoderm,#f7f79e
caudal mesoderm,#1a3f52
epiblast,#635547
