cell,batch
Cell_266,Batch_11
Cell_267,Batch_11
Cell_268,Batch_11
Cell_269,Batch_11
Cell_270,Batch_11
Cell_271,Batch_11
Cell_272,Batch_11
Cell_273,Batch_11
Cell_274,Batch_11
Cell_275,Batch_11
Cell_276,Batch_11
Cell_277,Batch_11
Cell_278,Batch_11
Cell_279,Batch_11
Cell_280,Batch_11
Cell_281,Batch_11
Cell_282,Batch_11
Cell_283,Batch_11
Cell_284,Batch_11
Cell_285,Batch_11
Cell_286,Batch_11
Cell_287,Batch_11
Cell_288,Batch_11
Cell_289,Batch_11
Cell_290,Batch_11
Cell_291,Batch_11
Cell_292,Batch_11
Cell_293,Batch_11
Cell_294,Batch_11
Cell_295,Batch_11
Cell_296,Batch_11
Cell_297,Batch_11
Cell_298,Batch_11
Cell_299,Batch_11
Cell_300,Batch_11
Cell_301,Batch_11
Cell_302,Batch_11
Cell_303,Batch_11
Cell_304,Batch_11
Cell_305,Batch_11
Cell_306,Batch_11
Cell_307,Batch_11
Cell_308,Batch_11
Cell_309,Batch_11
Cell_310,Batch_11
Cell_311,Batch_11
Cell_312,Batch_11
Cell_313,Batch_11
Cell_314,Batch_11
Cell_315,Batch_11
Cell_316,Batch_11
Cell_317,Batch_11
Cell_318,Batch_11
Cell_319,Batch_11
Cell_320,Batch_11
Cell_321,Batch_11
Cell_322,Batch_11
Cell_323,Batch_11
Cell_324,Batch_11
Cell_325,Batch_11
Cell_326,Batch_11
Cell_327,Batch_11
Cell_328,Batch_11
Cell_329,Batch_11
Cell_330,Batch_11
Cell_331,Batch_11
Cell_332,Batch_11
Cell_333,Batch_11
Cell_334,Batch_11
Cell_335,Batch_11
Cell_336,Batch_11
Cell_337,Batch_11
Cell_338,Batch_11
Cell_339,Batch_11
Cell_340,Batch_11
Cell_341,Batch_11
Cell_342,Batch_11
Cell_343,Batch_11
Cell_344,Batch_11
Cell_345,Batch_11
Cell_346,Batch_11
Cell_347,Batch_11
Cell_348,Batch_11
Cell_349,Batch_11
Cell_350,Batch_11
Cell_351,Batch_11
Cell_352,Batch_11
Cell_353,Batch_11
Cell_354,Batch_11
Cell_355,Batch_11
Cell_356,Batch_11
Cell_357,Batch_11
Cell_358,Batch_11
Cell_359,Batch_11
Cell_360,Batch_11
Cell_361,Batch_11
Cell_362,Batch_11
Cell_363,Batch_11
Cell_364,Batch_11
Cell_365,Batch_11
Cell_366,Batch_11
Cell_367,Batch_11
Cell_368,Batch_11
Cell_369,Batch_11
Cell_370,Batch_11
Cell_371,Batch_11
Cell_372,Batch_11
Cell_373,Batch_11
Cell_374,Batch_11
Cell_375,Batch_11
Cell_376,Batch_11
Cell_377,Batch_11
Cell_378,Batch_11
Cell_379,Batch_11
Cell_380,Batch_11
Cell_381,Batch_11
Cell_382,Batch_11
Cell_383,Batch_11
Cell_384,Batch_11
Cell_385,Batch_11
Cell_386,Batch_11
Cell_387,Batch_11
Cell_388,Batch_11
Cell_389,Batch_11
Cell_390,Batch_11
Cell_391,Batch_11
Cell_392,Batch_11
Cell_393,Batch_11
Cell_394,Batch_11
Cell_395,Batch_11
Cell_396,Batch_11
Cell_397,Batch_11
Cell_398,Batch_11
Cell_399,Batch_11
Cell_400,Batch_11
Cell_401,Batch_11
Cell_402,Batch_11
Cell_403,Batch_11
Cell_404,Batch_11
Cell_405,Batch_11
Cell_406,Batch_11
Cell_407,Batch_11
Cell_408,Batch_11
Cell_409,Batch_11
Cell_410,Batch_11
Cell_411,Batch_11
Cell_412,Batch_11
Cell_413,Batch_11
Cell_414,Batch_11
Cell_415,Batch_11
Cell_416,Batch_11
Cell_417,Batch_11
Cell_418,Batch_11
Cell_419,Batch_11
Cell_420,Batch_11
Cell_421,Batch_11
Cell_422,Batch_11
Cell_423,Batch_11
Cell_424,Batch_11
Cell_425,Batch_11
Cell_426,Batch_11
Cell_427,Batch_11
Cell_428,Batch_11
Cell_429,Batch_11
Cell_430,Batch_11
Cell_431,Batch_11
Cell_432,Batch_11
Cell_433,Batch_11
Cell_434,Batch_11
Cell_435,Batch_11
Cell_436,Batch_11
Cell_437,Batch_11
Cell_438,Batch_11
Cell_439,Batch_11
Cell_440,Batch_11
Cell_441,Batch_11
Cell_442,Batch_11
Cell_443,Batch_11
Cell_444,Batch_11
Cell_445,Batch_11
Cell_446,Batch_11
Cell_447,Batch_11
Cell_448,Batch_11
Cell_449,Batch_11
Cell_450,Batch_11
Cell_451,Batch_11
Cell_452,Batch_11
Cell_453,Batch_11
Cell_454,Batch_11
Cell_455,Batch_11
Cell_456,Batch_11
Cell_457,Batch_11
Cell_458,Batch_11
Cell_459,Batch_11
Cell_460,Batch_11
Cell_461,Batch_11
Cell_462,Batch_11
Cell_463,Batch_11
Cell_464,Batch_11
Cell_465,Batch_11
Cell_466,Batch_11
Cell_467,Batch_11
Cell_468,Batch_11
Cell_469,Batch_11
Cell_470,Batch_11
Cell_471,Batch_11
